CONTROL_NUMBER_N,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
16349,77,,0,T,2,38,U,M,,0,N,0,7,394,177,66,11081,0,37,45,26,0,0,A,1,0.105,20,0.2,20,2,2,29,22,54,103,7,14.71,15,20,5,20,5,10,26,76,14.71,4
16350,41,,0,C,2,27,U,F,,0,N,0,,1648,570,89,17929,0,51,28,30,1,0,A,1,0.15,16.67,0.3,16.67,3,3,20,15,38,55,4,13.75,15,20,5,20,6,12,20,41,13.75,4
16351,29,38,0,R,2,43,U,M,5,1,B,6,,415,221,78,10072,1,24,22,44,0,0,A,2,0.154,15.5,0.167,20,2,1,21,10,24,36,3,12,15,20,5,20,6,12,21,31,12,1
16352,53,,0,R,3,50,H,U,7,0,P,0,3,493,235,73,10720,0,26,22,52,0,0,A,1,0,0,0,0,0,0,,17,42,60,4,15,20,25,5,25,6,14,18,52,15,1
16353,125,45,0,S,1,12,H,F,7,1,B,7,9,1063,364,52,16589,0,31,31,16,1,1,S,2,0.15,10,0.222,10,3,2,16,30,79,190,19,10,0,10,10,10,6,13,16,123,10,15
16354,29,44,0,S,1,12,H,F,6,0,B,0,,1037,439,96,18050,0,10,54,0,0,0,N,1,0.1,15,0.25,15,1,1,24,6,15,15,1,15,0,15,15,15,3,7,24,24,15,1
16355,41,,0,R,2,49,U,M,,0,N,0,,628,310,85,12788,0,23,35,28,0,0,A,3,0.25,10.5,0.375,9.33,4,3,16,13,30,50,6,8.33,11,14,3,6,6,12,16,41,8.33,4
16356,137,86,0,S,2,20,U,F,2,1,B,0,8,802,359,59,16959,0,32,16,50,1,6,A,1,0.176,12,0.25,13,3,2,17,30,74,125,17,7.35,11,14,3,10,5,12,17,129,7.35,13
16357,137,54,0,S,2,18,H,F,4,1,M,2,7,785,417,92,17437,0,28,26,40,0,0,A,1,0.053,15,0,0,1,0,18,27,57,66,9,7.33,12,15,3,15,6,14,18,122,7.33,4
16358,137,81,1,U,1,1,U,M,1,1,B,2,5,4572,400,50,23300,1,23,36,33,1,4,A,1,0.095,13,0,0,2,0,30,34,94,212,25,8.48,9,14,5,10,6,23,9,120,8.48,11
16359,29,44,0,R,2,44,H,M,5,0,P,0,,584,373,85,14410,0,29,39,39,0,0,A,3,0.25,31.25,0.286,25,4,2,16,11,29,125,4,31.25,25,50,25,50,6,13,16,32,31.25,2
16360,53,33,0,S,1,14,H,F,6,0,P,0,9,2620,697,86,22692,3,35,65,10,0,0,A,2,0.05,20,0.111,20,1,1,24,16,42,73,4,18.25,22,25,3,25,6,13,17,52,18.25,3
16361,41,59,0,U,3,8,U,F,1,1,P,0,,359,122,56,7133,0,24,51,42,0,0,A,1,0.071,16,0,0,1,0,19,9,24,26,2,13,6,16,10,16,4,10,19,42,13,0
16362,137,,0,S,1,14,U,F,5,1,P,0,9,1545,717,96,26440,1,28,59,7,1,15,A,1,0.1,17,0.111,20,2,1,19,30,74,163,15,10.87,13,20,7,20,6,13,19,128,10.87,14
16363,17,,0,S,1,13,U,U,,1,N,0,,2407,431,81,23075,0,35,17,50,0,0,F,1,0.143,20,0,0,1,0,20,6,15,20,1,20,0,20,20,20,4,10,20,20,20,0
16364,113,,0,S,3,21,U,F,,0,N,0,,523,231,69,9576,12,45,26,36,1,0,A,3,0.273,11.67,0.25,10,3,1,15,13,36,75,10,7.5,11,14,3,14,4,8,15,112,7.5,4
16365,77,71,0,T,2,37,H,M,6,1,B,3,4,638,242,93,13296,0,37,27,42,0,0,A,2,0.158,21.67,0.222,20,3,2,24,21,55,115,6,19.17,15,25,10,15,6,13,24,76,19.17,4
16366,29,41,0,S,1,11,H,M,5,0,P,0,,905,477,75,19110,0,27,37,42,0,0,N,1,0.143,15,0.333,15,1,1,22,5,13,15,1,15,0,15,15,15,3,8,22,22,15,1
16367,17,41,0,C,3,30,H,M,3,0,P,0,,376,217,69,12034,1,34,24,39,0,0,E,1,0.5,25,1,25,1,1,15,4,10,25,1,25,0,25,25,25,3,8,15,15,25,1
16368,89,51,0,T,2,40,U,M,,0,N,0,7,689,362,84,12612,0,30,41,15,1,0,A,1,0.118,13,0,0,2,0,15,20,50,60,7,8.57,11,16,5,16,5,12,15,81,8.57,5
16369,137,66,0,S,2,17,U,F,,0,N,0,4,706,283,36,14352,0,32,41,14,1,1,S,3,0.267,9.25,0.429,9,4,3,19,20,52,149,23,6.48,7,12,5,12,4,9,19,129,6.48,14
16370,89,,0,S,2,16,U,U,,0,N,0,3,827,369,64,14536,0,29,31,0,1,1,S,4,0.474,4.22,0.455,4.2,9,5,20,23,58,85,19,4.47,4,7,3,5,6,13,18,81,4.47,9
16371,41,,0,C,2,27,U,F,,0,N,0,,1555,522,91,17990,4,30,49,13,1,0,A,4,0.316,7.99,0.444,8.23,6,4,19,13,33,65.92,9,7.32,10.08,12,1.92,5,6,13,19,38,7.32,5
16372,125,77,0,T,3,41,U,F,1,0,P,0,1,1543,315,77,14186,1,20,19,29,1,1,S,3,0.19,9.5,0.1,10,4,1,18,26,66,128,19,6.74,7,10,3,10,4,8,18,123,6.74,8
16373,41,49,0,T,1,35,U,M,5,0,B,3,,738,313,83,14070,0,39,38,26,0,0,A,2,0.167,18,0.333,18,3,3,21,13,31,63,4,15.75,11,20,9,19,6,12,21,37,15.75,3
16374,17,68,0,C,2,29,H,M,4,1,B,1,,824,295,72,19138,0,61,11,68,0,0,F,1,0.143,15,0.333,15,1,1,21,5,14,15,1,15,0,15,15,15,3,9,21,21,15,1
16375,53,49,0,T,2,39,H,F,2,1,B,15,4,586,266,76,11043,1,37,40,27,0,0,A,3,0.143,10.67,0.1,12,3,1,16,19,46,109,9,12.11,5,15,10,10,6,13,16,53,12.11,4
16376,29,47,0,C,3,30,H,F,5,0,P,0,,442,258,76,11310,0,34,30,46,0,0,A,2,0.214,16.67,0.286,15,3,2,19,11,25,50,3,16.67,10,20,10,20,6,13,19,29,16.67,2
16377,41,55,0,C,2,27,H,F,4,0,B,0,,402,373,88,11296,0,28,29,32,1,0,A,2,0.25,9,0.333,8.33,5,3,15,14,34,62,8,7.75,10,15,5,15,5,12,15,40,7.75,4
16378,137,44,0,S,2,16,H,M,6,0,M,34,7,965,431,97,16798,3,18,58,42,1,0,A,2,0.158,8.33,0.25,7.5,3,2,15,27,63,105,16,6.56,8,10,2,5,4,10,15,126,6.56,10
16379,89,60,0,R,1,42,H,F,7,0,B,4,4,3921,413,84,21648,0,40,25,34,0,0,A,1,0.056,18,0,0,1,0,18,22,57,95,7,13.57,13,18,5,18,5,12,18,81,13.57,1
16380,113,87,0,C,2,28,H,M,5,1,B,6,6,1231,304,69,16411,0,45,20,56,0,0,A,2,0.125,12.5,0.286,12.5,2,2,17,24,58,62,9,6.89,12,15,3,15,6,13,17,105,6.89,6
16381,125,37,0,T,2,40,H,M,4,0,P,0,8,797,377,88,16163,0,30,29,22,1,0,A,1,0.053,17,0,0,1,0,26,27,67,101,13,7.77,14,17,3,17,4,9,26,125,7.77,8
16382,17,35,0,T,2,40,U,F,,0,N,0,,975,305,77,12748,0,34,39,29,0,0,F,1,0.2,20,0.5,20,1,1,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,1
16383,65,,0,C,1,22,U,M,,0,N,0,8,862,374,69,19669,0,30,28,44,0,0,A,1,0.067,20,0,0,1,0,18,13,34,35,3,11.67,15,20,5,20,6,12,18,57,11.67,1
16384,29,69,0,R,2,46,U,M,2,0,P,0,,482,292,82,12361,0,38,25,39,0,0,N,2,0.182,15,0.2,15,2,1,18,9,20,30,2,15,0,15,15,15,6,12,18,24,15,1
16385,53,47,0,C,2,29,H,U,6,1,B,3,3,858,215,83,14013,0,40,8,81,0,0,A,3,0.167,7.33,0.222,6,3,2,17,14,35,36,7,5.14,7,10,3,5,5,11,17,52,5.14,4
16386,89,55,0,R,2,49,H,F,7,0,P,0,3,201,185,78,9605,0,20,21,45,1,1,S,2,0.111,12,0,0,2,0,18,22,59,127,16,7.94,7,12,5,12,6,13,18,79,7.94,8
16387,89,75,1,C,2,25,U,M,2,1,B,18,6,913,223,47,21101,13,55,51,29,0,0,A,1,0.105,15,0,0,2,0,18,21,72,82,7,11.71,6,16,10,16,6,20,18,79,11.71,1
16388,113,58,0,S,2,16,H,F,4,1,B,26,5,1744,411,91,14746,0,37,30,48,1,5,A,1,0.095,14.5,0,0,2,0,26,27,64,99,11,9,12,15,3,15,5,11,26,113,9,6
16389,53,,0,S,2,19,U,F,,0,N,0,,1529,391,62,13116,6,37,47,14,0,0,A,3,0.15,9,0.2,8.5,3,2,19,15,37,47,7,6.71,7,12,5,10,6,13,19,43,6.71,4
16390,137,79,1,T,1,35,U,F,5,0,B,9,8,1106,556,88,20941,0,26,36,22,1,7,A,3,0.214,10,0.167,10,3,1,15,18,53,98,11,8.91,5,10,5,10,5,18,10,125,8.91,6
16391,77,71,0,S,1,11,H,M,4,1,B,1,,1463,437,55,22451,1,35,31,39,0,0,A,4,0.308,8.83,0.4,7.66,4,2,16,15,42,50.32,6,8.39,5,10,5,5.32,6,13,16,67,8.39,4
16392,89,83,0,U,3,9,U,F,,0,N,0,5,676,366,98,16986,0,34,30,27,0,0,A,3,0.5,9.5,0.5,11,4,2,16,7,24,53,7,7.57,10,15,5,15,4,9,16,88,7.57,3
16393,125,75,0,S,1,12,H,F,5,0,P,0,9,720,451,92,14530,0,38,40,21,1,1,S,3,0.1,5,0,0,2,0,17,30,78,187,27,6.93,5,10,5,5,6,13,17,121,6.93,12
16394,29,46,0,C,2,27,H,F,3,0,P,0,,1804,494,70,15696,4,33,48,13,0,0,N,2,0.25,25,0.25,25,2,1,17,8,19,50,2,25,0,25,25,25,6,13,17,23,25,1
16395,17,41,0,S,2,17,U,F,,0,N,0,,1911,401,48,14796,0,15,15,23,0,0,N,2,0.286,15,0,0,2,0,16,7,16,30,2,15,10,20,10,20,5,12,16,20,15,0
16396,65,74,0,U,4,10,U,M,1,0,B,11,5,442,145,56,11531,0,47,8,53,0,0,N,2,0.227,16,0.273,15,5,3,17,27,60,157,11,14.27,10,20,10,10,11,23,15,57,14.27,5
16397,77,,0,U,3,8,H,F,4,1,B,7,2,1563,291,40,7118,0,4,23,27,1,0,A,3,0.05,20,0.111,20,1,1,16,23,58,190,9,21.11,15,25,10,20,6,14,16,85,21.11,4
16398,41,,1,?,?,,U,M,5,0,B,1,,2242,421,58,16688,0,0,0,0,0,0,A,4,0.3,13.33,0.4,15.5,6,4,22,17,43,119,11,10.82,28,30,2,22,7,21,10,41,10.82,6
16399,89,63,0,C,1,24,H,M,5,1,P,0,,775,498,91,18790,0,39,40,46,1,0,A,1,0.091,15,0,0,1,0,26,15,44,38,4,9.5,10,15,5,15,4,9,26,81,9.5,3
16400,17,64,0,S,1,13,H,M,5,0,B,9,,2287,600,86,24286,0,30,14,43,0,0,F,1,0.2,20,0.5,20,1,1,17,5,13,20,1,20,0,20,20,20,4,10,17,17,20,1
16401,137,75,0,U,1,2,U,F,,0,N,0,5,1368,379,84,23121,0,38,41,37,1,1,S,3,0.4,6.75,0.273,7.67,8,3,16,45,111,161,29,5.55,6,9,3,6,13,31,6,128,5.55,15
16402,77,42,0,U,3,8,H,M,4,1,B,0,5,794,348,87,9473,0,19,39,8,0,0,A,3,0.15,12.67,0.111,12,3,1,18,22,56,100,13,7.69,11,14,3,14,6,13,18,76,7.69,3
16403,125,17,0,T,2,37,H,F,5,0,P,0,,1901,470,77,15015,0,42,23,49,1,1,S,3,0.308,4,0.4,4,4,2,18,17,46,71,20,3.55,3,5,2,5,3,7,18,104,3.55,9
16404,89,57,0,S,2,18,H,F,3,1,B,2,6,1576,475,75,16814,0,25,53,18,0,0,A,1,0.095,10.5,0.1,11,2,1,26,23,55,126,14,9,7,12,5,10,4,9,26,83,9,3
16405,17,42,1,C,1,24,H,M,6,0,B,7,,919,519,85,22212,0,26,50,20,0,0,F,1,0.167,200,0,0,1,0,20,6,35,200,1,200,0,200,200,200,5,28,20,20,200,0
16406,89,57,0,T,1,35,U,M,5,0,P,0,,2074,495,86,20386,0,36,27,46,0,0,A,1,0.059,20,0,0,1,0,26,20,47,50,3,16.67,10,20,10,20,4,9,26,80,16.67,2
16407,137,46,0,T,2,40,H,M,3,1,B,13,6,819,371,79,15719,0,33,27,32,1,1,S,3,0.278,7.6,0.5,7.5,5,4,16,29,67,80.25,17,4.72,7.75,9,1.25,9,5,11,16,116,4.72,12
16408,65,68,0,?,?,,H,F,7,1,P,0,6,424,252,66,14198,0,0,0,0,0,0,A,1,0.136,17.67,0.091,13,3,1,18,19,42,70,6,11.67,18,20,2,20,6,13,18,59,11.67,4
16409,101,67,0,R,2,49,U,F,3,0,P,0,8,604,224,73,11446,0,42,14,11,0,0,E,1,0.063,50,0,0,1,0,15,20,53,130,6,21.67,40,50,10,50,3,10,15,90,21.67,3
16410,77,44,0,R,2,44,U,M,5,1,P,0,8,1076,490,92,19138,0,28,39,25,1,1,S,2,0.158,21.67,0.1,15,3,1,20,22,57,160,11,14.55,32,37,5,37,4,12,7,74,14.55,6
16411,53,36,0,T,1,35,H,M,6,1,B,1,9,2357,523,91,25983,0,21,59,27,1,1,S,3,0.211,6.25,0.375,6.67,4,3,16,17,44,43,8,5.38,7,10,3,10,6,14,16,53,5.38,7
16412,137,85,0,R,2,45,U,M,2,1,B,0,1,257,176,77,9506,0,36,24,48,1,1,S,3,0.25,10.4,0.182,9,5,2,15,32,72,185,24,7.71,11,13,2,11,6,13,15,126,7.71,11
16413,113,45,0,S,1,11,H,F,4,0,B,5,8,1099,275,44,13661,3,35,40,24,1,19,A,1,0.053,25,0.111,25,1,1,20,27,71,141,10,14.1,15,25,10,25,6,13,20,113,14.1,6
16414,137,,0,C,1,22,H,F,5,0,P,0,7,3289,407,48,23380,1,34,31,49,1,1,S,2,0.136,13.33,0.182,10,3,2,18,33,77,198,19,10.42,15,20,5,20,6,13,18,125,10.42,13
16415,77,70,0,S,2,19,H,F,4,0,M,0,8,1632,396,59,16097,0,22,38,19,1,0,A,2,0.19,15.5,0.182,15,4,2,20,21,53,112,11,10.18,14,17,3,17,6,15,20,68,10.18,5
16416,29,,0,R,2,47,U,M,1,1,P,0,,647,252,87,13703,0,30,29,40,0,0,N,1,0,0,0,0,0,0,,5,13,20,1,20,0,20,20,20,3,8,23,23,20,0
16417,125,72,0,S,2,17,H,U,5,1,B,8,5,2656,387,37,14862,0,22,41,18,1,1,S,3,0.278,4.8,0.4,4.5,5,4,17,30,76,113,27,4.19,3,6,3,5,5,12,17,119,4.19,17
16418,17,43,0,C,3,32,U,F,4,0,P,0,,528,148,55,5081,1,19,60,15,0,0,F,1,0.25,20,0,0,1,0,19,4,12,20,1,20,0,20,20,20,4,10,19,19,20,0
16419,101,58,0,T,2,36,U,F,,0,N,0,6,307,287,80,12376,0,25,22,53,1,0,A,1,0.1,20,0,0,2,0,19,23,54,68,7,9.71,18,20,2,20,6,13,19,90,9.71,3
16420,101,44,0,S,2,18,U,F,,0,N,0,7,748,432,85,13737,0,27,54,7,1,0,A,1,0.053,25,0.111,25,1,1,21,25,66,171,11,15.55,20,25,5,25,6,13,21,93,15.55,7
16421,125,,0,S,2,18,H,F,4,0,P,0,5,521,318,89,11762,0,23,51,15,1,0,A,3,0.238,20,0.273,18.67,5,3,17,29,69,152,14,10.86,20,24,4,24,6,14,17,124,10.86,9
16422,41,69,0,C,2,28,U,F,3,1,P,0,,701,313,93,16513,0,61,12,57,0,0,A,1,0.059,20,0,0,1,0,26,11,27,35,2,17.5,5,20,15,20,4,9,26,38,17.5,1
16423,41,,0,C,1,24,U,F,,0,N,0,,743,465,82,22415,2,55,31,35,1,1,S,4,0.333,8.57,0.5,9,7,5,18,15,38,68,9,7.56,7,10,3,5,6,13,17,40,7.56,6
16424,5,24,0,C,2,27,U,F,2,0,M,4,,879,296,87,14589,6,37,21,16,1,0,A,4,0.333,7.25,0.4,8.5,4,2,16,11,29,35,6,5.83,7,10,3,3,7,17,9,41,5.83,4
16425,29,65,1,S,1,11,H,F,4,1,P,0,,2443,423,52,21089,1,32,37,19,1,0,A,2,0.188,11.67,0.375,11.67,3,3,18,13,29,50,4,12.5,15,20,5,15,7,17,7,30,12.5,3
16426,101,87,1,C,2,26,U,M,2,1,B,8,3,1047,213,32,15868,0,38,20,58,1,10,A,1,0.2,10,0.143,10,3,1,18,24,106,295,31,9.52,12,15,3,10,6,26,4,105,9.52,11
16427,17,,0,S,1,12,U,F,,0,N,0,,2296,549,76,23721,1,29,50,26,0,0,F,1,0.2,20,0.5,20,1,1,16,6,14,20,1,20,0,20,20,20,5,12,16,16,20,1
16428,89,63,0,C,2,25,U,F,6,1,B,2,6,657,331,24,14209,1,25,44,19,1,3,A,1,0.25,8.2,0.4,7.75,5,4,23,22,58,121,15,8.07,13,15,2,11,5,11,23,80,8.07,9
16429,137,,0,R,2,45,H,F,4,1,P,0,1,434,233,66,10570,1,27,18,49,1,1,S,2,0.2,12.5,0.3,12,4,3,17,33,80,198,24,8.25,11,14,3,14,6,13,17,127,8.25,17
16430,77,58,0,C,1,24,H,M,7,1,B,6,8,1270,363,93,17548,0,41,27,52,1,1,S,4,0.4,7.38,0.545,5,8,6,18,22,59,163,26,6.27,21,24,3,24,6,14,18,68,6.27,12
16431,17,,0,R,3,51,U,M,1,0,P,0,,362,190,85,8758,0,23,31,33,0,0,F,1,0.2,25,0.5,25,1,1,17,6,16,25,1,25,0,25,25,25,5,13,17,17,25,1
16432,29,35,0,C,2,28,H,F,5,1,B,1,,534,331,72,14448,0,44,18,38,0,0,A,1,0.118,20,0.143,20,2,1,25,10,25,40,2,20,0,20,20,20,4,9,25,33,20,1
16433,77,65,0,U,3,9,U,M,,1,N,0,1,2048,243,52,15111,0,38,31,44,1,1,S,4,0.526,12.6,0.636,13.29,10,7,21,23,58,340,29,11.72,11,16,5,5,6,14,18,69,11.72,14
16434,89,,0,R,2,46,U,M,,1,N,0,4,700,221,88,11321,0,44,25,45,0,0,A,1,0.118,12.5,0.167,15,2,1,17,19,53,62,7,8.86,10,15,5,15,4,11,17,85,8.86,4
16435,137,,0,R,2,49,U,M,2,1,P,0,3,480,322,79,13335,0,28,34,20,1,7,A,1,0.214,12.33,0.333,12.33,3,3,22,32,69,161,19,8.47,13,15,2,15,6,11,22,127,8.47,13
16436,41,40,0,C,1,24,U,F,,0,N,0,8,1162,529,79,18860,0,30,42,21,1,1,S,2,0.143,15,0,0,3,0,18,16,40,65,6,10.83,20,25,5,25,6,15,18,45,10.83,2
16437,29,64,0,T,1,35,H,M,5,0,B,4,,1637,618,97,20002,0,28,36,19,1,0,N,3,0.3,10.67,0.6,10.67,3,3,17,9,22,32,3,10.67,2,12,10,12,6,13,17,24,10.67,3
16438,137,71,0,C,3,31,H,F,2,0,P,0,0,1625,196,41,10679,16,36,9,29,1,1,S,2,0.167,10.67,0.222,10.5,3,2,18,27,62,87,14,6.21,8,11,3,11,6,13,18,103,6.21,11
16439,29,57,0,S,2,16,H,F,3,0,P,0,,570,356,75,14017,0,47,28,25,0,0,A,2,0.25,11.25,0.25,15,4,2,25,12,28,64,6,10.67,12,15,3,15,6,11,25,32,10.67,2
16440,41,40,0,T,1,35,U,F,2,0,M,0,7,706,439,85,17192,19,37,57,14,0,0,A,2,0.2,12.5,0.111,10,4,1,18,15,38,60,5,12,10,20,10,10,6,12,18,45,12,2
16441,137,,0,?,?,,U,F,2,0,M,0,2,528,221,78,10257,0,0,0,0,1,1,S,4,0.455,11.9,0.273,13,10,3,12,47,114,423,39,10.85,12,17,5,11,11,30,5,125,10.85,12
16442,101,45,0,S,1,13,H,M,7,0,P,0,9,2004,849,96,40601,0,32,12,41,1,0,A,1,0.095,22,0.2,22,2,2,22,25,66,121,9,13.44,17,22,5,22,6,12,22,92,13.44,6
16443,125,83,1,S,2,20,U,F,,0,N,0,5,951,266,66,14143,0,43,13,57,1,3,A,1,0.059,28,0.1,28,1,1,28,33,126,539,34,15.85,23,28,5,25,7,33,14,122,15.85,14
16444,29,73,0,C,3,31,U,M,5,0,P,0,,212,138,75,8679,0,0,0,0,0,0,A,3,0.267,9,0.143,11,4,1,18,11,25,36,4,9,6,11,5,10,6,12,18,32,9,1
16445,17,40,0,S,3,21,H,F,2,0,B,2,,568,226,71,9159,0,36,38,29,0,0,N,2,0.2,15,0.5,15,1,1,17,5,14,21,2,10.5,9,15,6,6,4,11,15,17,10.5,1
16446,113,51,0,C,2,28,H,M,5,0,P,0,7,537,288,75,14556,0,41,12,46,1,0,A,1,0.071,15,0,0,1,0,19,23,56,91,10,9.1,10,15,5,15,6,13,19,105,9.1,5
16447,17,,0,U,4,10,U,F,,0,N,0,,1248,289,42,17282,0,0,0,0,0,0,F,1,0.2,20,0.5,20,1,1,17,5,13,20,1,20,0,20,20,20,4,10,17,17,20,1
16448,137,45,0,C,1,24,H,M,6,1,B,1,9,1324,770,93,33254,0,35,34,32,1,1,S,2,0.125,15,0,0,2,0,15,27,65,88,10,8.8,10,15,5,15,5,12,15,116,8.8,6
16449,113,,0,R,2,49,U,M,,0,N,0,1,388,302,83,9916,0,19,44,18,0,0,A,1,0.111,15,0.333,15,1,1,20,13,36,63,7,9,10,15,5,15,2,6,20,111,9,4
16450,53,29,0,C,2,27,H,F,5,0,B,15,8,768,403,73,16305,0,41,24,50,1,1,S,4,0.588,4.4,0.636,4.57,10,7,17,18,39,69,19,3.63,4,6,2,5,6,13,17,53,3.63,10
16451,101,,0,C,1,24,U,M,,1,N,0,9,889,431,76,21416,0,39,29,40,1,0,A,1,0.095,15,0,0,2,0,18,28,68,120,12,10,13,15,2,15,6,13,18,98,10,6
16452,137,47,0,T,2,39,H,M,7,1,P,0,4,473,327,86,12580,0,43,23,21,1,0,A,1,0.095,21,0,0,2,0,20,31,73,162,12,13.5,18,21,3,21,6,13,20,123,13.5,8
16453,17,85,0,T,2,38,H,F,3,1,B,2,,730,263,60,12959,0,25,13,42,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
16454,29,57,0,T,3,41,H,M,3,1,B,31,,323,152,69,8349,0,34,35,42,0,0,A,1,0.133,10,0,0,2,0,26,9,23,20,2,10,10,15,5,15,4,9,26,32,10,0
16455,125,,0,C,2,25,U,F,,0,N,0,0,317,231,2,17155,0,15,56,20,1,1,S,4,0.421,5.63,0.455,5.8,8,5,17,30,73,127.03,26,4.89,5,7,2,5,6,14,17,121,4.89,14
16456,41,51,0,C,1,22,H,F,4,0,M,4,,3209,568,77,28817,0,24,42,22,1,1,S,2,0.353,15.17,0.5,15.4,6,5,21,15,37,146,11,13.27,21,26,5,17,6,12,21,41,13.27,6
16457,41,51,0,R,2,49,U,F,3,1,B,3,,473,253,81,10524,1,23,30,21,0,0,A,1,0.118,15.5,0.125,15,2,1,15,13,30,41,3,13.67,6,16,10,16,5,11,15,41,13.67,2
16458,89,80,0,R,2,45,U,M,1,0,B,25,,303,254,88,12469,0,30,27,31,1,1,S,4,0.4,4,0.625,4.2,6,5,17,22,55,67,18,3.72,4,6,2,6,6,13,17,79,3.72,9
16459,137,,0,T,1,35,U,M,,0,N,0,8,991,493,93,17344,0,29,51,17,1,0,A,2,0.1,16,0.222,16,2,2,17,29,63,163,13,12.54,12,17,5,17,4,8,17,126,12.54,9
16460,29,41,0,T,2,36,H,M,6,0,P,0,,471,204,70,10085,0,33,27,37,1,0,A,3,0.308,8.75,0.167,5,4,1,16,10,24,38,5,7.6,7,10,3,10,6,13,16,29,7.6,1
16461,65,65,0,C,1,23,H,M,7,0,P,0,,1352,474,76,27821,0,50,13,61,0,0,A,3,0.2,11,0.2,11,4,2,16,20,49,80,10,8,9,12,3,12,6,14,16,65,8,5
16462,137,65,0,T,3,41,H,F,2,0,B,8,,607,354,88,13543,0,30,25,31,1,3,A,1,0.125,12.5,0,0,2,0,18,20,48,65,9,7.22,10,15,5,15,4,9,18,123,7.22,5
16463,29,45,0,U,4,10,U,F,6,0,P,0,,128,70,30,6074,0,10,23,33,0,0,A,1,0.154,15,0.333,15,2,2,22,9,22,30,2,15,10,20,10,20,4,10,22,28,15,2
16464,89,72,1,C,2,28,H,F,1,1,B,10,4,674,248,88,11242,0,40,34,39,1,0,A,4,0.25,9.3,0.222,8.75,5,2,18,25,71,131.5,18,7.31,7,10,3,10,7,19,18,88,7.31,7
16465,101,77,0,T,2,39,U,F,3,0,P,0,,402,173,73,7483,0,30,26,41,1,0,A,1,0.056,15,0,0,1,0,16,26,66,133,14,9.5,10,15,5,15,5,12,16,103,9.5,6
16466,41,59,0,R,2,44,U,M,2,0,P,0,6,965,433,94,16098,0,31,35,19,1,1,S,2,0.227,36.4,0.091,14,5,1,18,17,40,243,9,27,55,60,5,50,6,13,18,44,27,3
16467,65,57,0,S,2,17,H,M,5,1,P,0,6,1086,309,24,17092,0,31,41,26,0,0,A,1,0.091,20.5,0.182,20.5,2,2,24,18,42,81,5,16.2,20,25,5,25,6,11,24,57,16.2,3
16468,53,69,0,T,2,38,H,F,4,0,P,0,5,839,264,61,13305,1,34,48,14,0,0,A,3,0.25,10.4,0.222,10,5,2,18,16,41,62,7,8.86,7,12,5,10,6,13,18,52,8.86,3
16469,137,55,0,T,1,35,U,M,5,0,M,4,6,1074,469,96,18042,0,32,51,24,0,0,A,2,0.15,12.67,0.111,14,3,1,17,28,68,103,11,9.36,9,14,5,14,6,13,17,121,9.36,6
16470,29,,0,R,3,50,U,F,,1,N,0,,419,207,70,8783,11,40,47,20,0,0,A,2,0.2,26.67,0.143,35,3,1,15,11,29,115,4,28.75,15,35,20,35,6,14,15,32,28.75,1
16471,77,38,0,C,3,30,U,F,4,1,B,1,,478,213,65,8810,0,31,22,34,0,0,A,3,0.2,13,0.25,15,2,1,21,13,35,48,5,9.6,10,15,5,10,6,12,19,67,9.6,2
16472,29,39,0,T,2,36,U,M,2,1,B,2,,601,206,73,9801,6,39,37,44,0,0,N,2,0.182,13,0.4,13,2,2,17,9,23,26,2,13,6,16,10,16,6,14,17,24,13,2
16473,41,7,0,U,4,10,U,F,1,1,M,0,,0,50,0,6842,0,15,0,58,0,0,A,4,0.364,7,0.4,8.5,4,2,18,10,23,30,5,6,8,10,2,6,6,12,18,40,6,2
16474,101,69,0,R,2,45,U,M,7,0,P,0,5,359,280,75,11982,0,40,24,58,0,0,A,1,0.053,20,0.111,20,1,1,21,21,53,90,6,15,10,20,10,20,6,12,21,92,15,5
