CONTROL_NUMBER_N,TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPTITA_INCOME,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT
7536,1,65,59,0,S,1,13,H,U,6,0,B,7,9,5742,1289,98,64190,0,37,17,46,0,0,A,1,0.095,25,0.091,30,2,1,26,21,57,130,6,21.67,15,30,15,20,5,11,26,64,21.67,4
7537,0,29,76,1,U,1,1,H,F,7,1,M,0,,2375,281,22,32966,0,17,23,46,0,0,N,3,0.182,7.5,0.2,5,2,1,18,9,35,30,4,7.5,5,10,5,10,6,17,18,25,7.5,1
7538,0,137,71,0,U,4,10,H,F,1,1,M,2,3,396,163,42,7716,0,25,17,48,1,1,S,3,0.286,4.67,0.3,5,6,3,19,32,75,123,27,4.56,4,7,3,4,5,11,19,125,4.56,12
7539,0,29,74,0,C,3,30,H,M,1,1,B,3,,345,142,75,9272,0,39,21,48,0,0,A,1,0.154,15,0.2,25,2,1,23,9,24,30,2,15,20,25,5,25,6,13,23,30,15,1
7540,0,77,39,0,T,2,40,U,M,2,0,P,0,1,867,252,70,12897,1,30,33,28,1,1,S,2,0.19,13.25,0.273,12.33,4,3,21,23,55,102,14,7.29,16,18,2,18,6,12,21,68,7.29,7
7541,1,137,79,1,S,1,13,H,M,4,1,B,34,9,1493,564,95,27377,0,34,7,47,1,0,A,1,0.091,15,0,0,1,0,19,18,102,488,22,22.18,33,48,15,20,3,33,17,126,22.18,7
7542,0,41,,0,S,1,14,U,M,,0,N,0,9,3107,677,92,25630,0,30,37,19,1,1,S,3,0.35,10.29,0.273,10,7,3,18,17,42,117,14,8.36,7,12,5,12,6,13,18,45,8.36,5
7543,0,77,68,1,T,1,35,H,M,5,1,B,30,9,1241,551,94,23052,0,46,22,29,0,0,A,1,0.1,25,0.182,25,2,2,22,26,78,195,9,21.67,10,25,15,20,8,33,8,77,21.67,4
7544,0,113,52,0,U,3,8,U,M,,0,N,0,7,868,216,71,17536,0,44,21,46,1,1,S,4,0.368,7.71,0.545,7.67,7,6,17,30,70,142,23,6.17,7,10,3,9,6,13,17,113,6.17,15
7545,0,89,87,0,C,3,30,U,F,1,0,P,0,0,247,140,50,6775,0,33,43,27,1,4,A,1,0.059,100,0,0,1,0,19,21,52,310,9,34.44,80,100,20,100,5,11,19,81,34.44,4
7546,0,53,,0,T,2,37,U,U,,0,N,0,5,746,170,51,15303,0,33,25,36,0,0,A,1,0.125,20,0.25,20,2,2,24,15,34,60,4,15,10,20,10,20,4,7,24,53,15,4
7547,0,53,,0,S,1,14,U,M,,0,N,0,8,1831,636,92,26197,2,43,29,30,0,0,A,1,0.136,14,0.182,12.5,3,2,26,18,42,82,6,13.67,10,20,10,17,5,10,26,53,13.67,4
7548,0,29,,0,R,2,46,U,F,,0,N,0,,566,282,76,13378,0,34,41,31,0,0,A,1,0.182,15,0.333,15,2,2,17,10,23,30,2,15,20,25,5,25,6,14,17,30,15,2
7549,0,125,,0,?,?,,H,F,6,1,B,0,6,709,384,93,11752,0,0,0,0,1,0,A,1,0.095,21,0.1,17,2,1,18,28,66,119,10,11.9,22,25,3,25,6,13,18,112,11.9,6
7550,0,53,48,0,S,2,19,H,M,4,0,B,1,4,2614,504,84,15839,3,19,31,23,0,0,A,1,0,0,0,0,0,0,,16,60,91,4,22.75,12,30,18,18,5,26,26,53,22.75,1
7551,0,29,47,0,T,1,34,H,F,5,0,P,0,,672,337,70,15059,0,25,6,71,0,0,A,2,0.2,10.67,0.286,8.5,3,2,17,10,24,32,3,10.67,10,15,5,12,5,11,17,32,10.67,2
7552,0,101,39,0,T,2,39,H,M,4,0,B,3,5,663,321,95,10879,0,0,0,0,1,1,S,2,0.15,10,0.1,10,3,1,21,26,62,89,12,7.42,7,10,3,10,6,12,21,92,7.42,6
7553,1,29,73,0,S,2,20,U,F,1,1,B,3,,820,255,67,13435,1,40,29,43,0,0,A,2,0.214,15,0,0,3,0,18,10,24,45,3,15,25,30,5,30,6,13,18,31,15,0
7554,0,89,73,0,S,3,21,H,M,3,1,B,31,5,626,314,65,12643,0,29,33,26,1,0,A,1,0.15,34.67,0.182,36.5,3,2,18,25,64,317,11,28.82,19,39,20,31,6,15,18,81,28.82,7
7555,0,29,,0,S,2,20,U,F,,1,N,0,,985,373,87,18837,3,47,22,50,0,0,E,3,0.571,8.75,0.5,7.5,4,2,19,6,13,56,7,8,5,10,5,10,2,6,5,32,8,3
7556,0,89,,0,U,3,8,U,F,,1,N,0,0,5463,415,43,44342,0,15,32,0,1,1,S,4,0.471,6.38,0.7,6.29,8,7,20,25,58,132,22,6,4,7,3,6,6,10,20,85,6,15
7557,1,41,,0,S,1,11,U,F,,0,N,0,,3700,444,56,31003,0,17,15,32,0,0,A,2,0.167,13.33,0.25,12,3,2,18,14,33,50,4,12.5,6,16,10,16,6,12,18,43,12.5,2
7558,0,41,,0,S,1,13,U,M,6,1,M,0,,1565,398,83,24445,0,32,10,55,0,0,A,1,0.111,20,0.222,20,2,2,24,14,32,45,3,15,20,25,5,25,6,12,24,40,15,3
7559,0,113,76,0,R,3,51,H,M,1,1,P,0,4,555,272,94,12196,0,19,18,0,1,5,A,1,0.095,20,0.1,20,2,1,23,29,74,164,16,10.25,17,20,3,20,6,12,23,119,10.25,10
7560,0,41,45,0,R,2,43,U,F,1,0,P,0,,738,213,45,9723,0,21,34,16,0,0,A,4,0.444,7.13,0.333,7,8,3,18,13,28,62,9,6.89,3,8,5,8,6,12,18,34,6.89,3
7561,0,137,17,1,R,1,42,H,F,2,1,B,10,4,478,224,73,12321,0,32,0,54,1,4,A,1,0.2,10.5,0.111,10,4,1,16,35,108,252,32,7.88,9,12,3,10,6,34,7,126,7.88,12
7562,0,53,65,0,C,2,27,H,F,2,1,B,5,4,550,235,87,10318,16,49,37,37,1,0,A,3,0.136,20,0.273,20,3,3,23,19,45,158,10,15.8,20,25,5,25,6,12,17,52,15.8,5
7563,1,137,70,0,C,2,27,U,F,,1,N,0,9,1782,537,57,28303,0,30,35,29,0,0,A,1,0.053,30,0,0,1,0,30,28,68,145,8,18.13,20,30,10,25,6,15,18,127,18.13,3
7564,0,113,51,1,R,3,53,U,U,,0,N,0,0,217,140,79,8163,0,30,24,47,0,0,A,3,0.227,25.6,0.273,23.33,5,3,18,32,81,321,16,20.06,27,30,3,10,8,18,5,111,20.06,7
7565,0,17,61,0,U,4,10,H,M,2,1,B,0,,300,91,36,6731,0,22,14,66,0,0,N,3,0.25,11,0.25,12,2,1,16,8,19,27,3,9,7,12,5,12,6,14,16,20,9,1
7566,1,137,,0,T,2,36,U,M,5,0,P,0,5,600,257,75,12433,1,33,19,45,1,0,A,1,0.105,11,0,0,2,0,18,30,73,181,19,9.53,7,12,5,10,4,11,18,130,9.53,13
7567,1,77,44,0,T,2,40,U,U,,0,N,0,,722,327,63,13168,47,28,61,4,1,1,S,1,0.105,32,0,0,2,0,25,21,56,146,7,20.86,30,40,10,24,6,13,25,77,20.86,3
7568,1,29,,0,C,2,28,U,M,,0,N,0,,709,256,75,13576,0,39,9,57,0,0,A,3,0.15,10,0.273,10,3,3,22,25,59,105,11,9.55,10,15,5,10,6,15,18,80,9.55,5
7569,0,101,57,0,R,2,49,U,M,1,1,M,3,4,808,263,87,11676,0,44,36,21,1,1,S,4,0.4,7,0.3,8,8,3,18,27,69,208,27,7.7,22,25,3,6,6,13,18,96,7.7,9
7570,0,29,,0,C,2,25,U,F,,0,N,0,,1403,457,59,18302,2,34,43,17,1,0,N,4,0.455,6.8,0.4,6,5,2,15,9,22,38,6,6.33,4,8,4,8,6,13,15,24,6.33,2
7571,1,41,87,1,?,?,,H,F,3,0,P,0,,852,364,96,15238,0,0,0,0,1,1,S,4,0.429,7.67,0.5,8.4,9,5,18,17,57,119,15,7.93,9,12,3,10,8,32,13,42,7.93,6
7572,1,77,59,0,R,2,43,U,M,1,1,B,0,2,216,211,76,9250,0,31,29,18,1,1,S,3,0.211,6.75,0.2,7,4,2,21,23,57,95,16,5.94,7,10,3,10,6,13,18,74,5.94,7
7573,1,77,,0,U,3,8,U,U,,0,N,0,,683,445,79,16972,0,34,40,12,0,0,A,3,0.211,6.25,0.125,5,4,1,18,19,48,46,9,5.11,9,10,1,10,6,12,18,76,5.11,4
7574,1,41,85,0,S,2,20,H,F,2,1,B,1,,914,321,53,17804,0,32,22,46,1,0,A,1,0.2,14,0.273,12,4,3,21,17,39,77,7,11,15,20,5,20,6,12,21,45,11,4
7575,1,65,,0,U,3,9,H,F,4,0,P,0,,1429,191,55,12752,0,33,21,43,1,0,A,4,0.438,4.14,0.429,4,7,3,16,17,47,51,14,3.64,2,5,3,3,6,16,5,65,3.64,7
7576,0,89,69,0,U,4,10,H,M,1,1,P,0,4,455,163,32,6358,0,31,27,38,1,0,A,3,0.125,8,0.167,5,2,1,17,17,42,47.98,7,6.85,8,11,3,6,4,9,15,77,6.85,5
7577,1,41,,0,C,1,23,U,M,,0,N,0,,3333,390,56,48235,0,41,0,48,1,1,S,4,0.412,10.71,0.4,11.25,7,4,17,15,37,80,8,10,7,12,5,12,6,14,17,41,10,5
7578,0,17,53,0,C,2,27,H,M,3,1,B,3,,1300,289,73,17355,2,26,18,19,0,0,N,3,0.333,25,0.333,25,2,1,17,7,19,70,3,23.33,5,25,20,25,6,14,17,20,23.33,1
7579,0,17,,0,S,1,13,U,M,5,1,B,0,,5546,881,95,55395,0,31,8,54,0,0,N,2,0.143,20,0.333,20,1,1,21,6,15,26,2,13,14,20,6,6,4,10,19,21,13,1
7580,0,137,84,1,S,1,13,H,F,5,1,P,0,9,1033,586,96,25955,0,50,12,80,1,12,A,1,0.105,10,0,0,2,0,17,32,82,164,24,6.83,7,10,3,10,7,19,6,126,6.83,13
7581,0,101,85,0,C,2,28,H,M,3,1,B,2,1,1452,335,88,20970,0,51,15,55,1,0,A,2,0.125,30,0.25,30,2,2,24,20,51,215,8,26.88,5,30,25,25,4,8,18,93,26.88,5
7582,1,17,,0,C,2,25,H,F,3,1,B,5,,540,191,39,10336,0,37,35,17,0,0,F,2,0.2,15,0,0,1,0,16,5,16,21,2,10.5,9,15,6,6,4,14,15,16,10.5,0
7583,0,17,35,0,C,2,26,U,M,4,1,P,0,,633,255,55,16039,1,35,27,33,0,0,N,3,0.286,12.5,0.333,15,2,1,16,7,21,35,3,11.67,5,15,10,15,6,16,16,20,11.67,1
7584,0,65,40,0,T,1,34,H,F,5,1,M,6,2,736,229,69,12661,0,31,0,44,1,0,A,1,0.095,50,0.182,50,2,2,25,22,55,190,7,27.14,40,50,10,50,6,13,25,64,27.14,5
7585,0,29,51,0,U,1,3,H,F,3,1,B,8,,1453,406,45,31118,2,26,14,56,0,0,A,1,0.154,13,0.333,13,2,2,24,9,22,26,2,13,6,16,10,16,4,10,24,28,13,2
7586,0,17,,0,T,3,41,U,F,,0,N,0,,557,256,67,10714,2,22,72,0,0,0,F,1,0.167,20,0.333,20,1,1,19,6,14,20,1,20,0,20,20,20,4,10,19,19,20,1
7587,0,113,7,0,U,4,10,U,F,1,1,B,9,1,168,79,20,8843,5,55,25,45,1,1,S,2,0.176,18,0.25,18,3,2,17,27,65,108,10,10.8,15,20,5,20,6,13,17,113,10.8,6
7588,1,89,47,1,U,3,8,U,F,5,0,B,4,3,1922,284,70,9661,0,34,26,35,1,1,S,3,0.3,7,0.364,6.75,6,4,21,25,62,122,22,5.55,7,10,3,5,6,13,17,79,5.55,12
7589,0,29,72,0,U,3,8,H,F,1,1,M,19,,878,296,58,12389,0,28,28,52,0,0,N,1,0,0,0,0,0,0,,5,13,15,1,15,0,15,15,15,3,8,23,23,15,0
7590,0,65,38,0,S,1,13,U,M,,0,N,0,8,1768,706,95,30034,0,20,19,81,0,0,A,1,0.095,25,0.1,30,2,1,24,20,51,105,7,15,20,30,10,30,6,13,24,65,15,5
7591,0,17,21,0,U,1,2,U,F,2,1,B,1,,2281,526,87,29344,0,37,11,52,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
7592,0,65,49,0,S,1,11,H,F,5,1,B,2,9,978,392,42,18462,10,29,40,28,1,1,S,4,0.227,15.2,0.273,15.67,5,3,22,20,49,176,14,12.57,35,40,5,40,6,14,18,56,12.57,6
7593,1,41,53,0,T,1,35,H,M,5,1,B,5,,842,438,93,15854,2,30,47,18,0,0,A,3,0.294,15.6,0.333,14.33,5,3,18,13,29,78,5,15.6,11,21,10,20,6,13,18,35,15.6,3
7594,0,101,79,0,U,3,8,H,M,1,1,B,2,1,728,172,73,12822,0,35,30,56,1,1,S,2,0.167,10.67,0.375,10.67,3,3,21,24,62,75,14,5.36,10,12,2,12,6,12,21,105,5.36,10
7595,0,101,64,0,S,2,20,H,M,6,0,P,0,7,866,407,72,21154,0,44,29,45,0,0,A,1,0.095,15,0.2,15,2,2,23,25,56,90,11,8.18,12,15,3,15,6,12,23,90,8.18,7
7596,0,65,68,0,S,3,21,U,M,,0,N,0,6,625,240,88,12972,0,35,26,51,1,0,A,4,0.368,13.57,0.364,11,7,4,15,28,71,185,17,10.88,15,20,5,17,11,29,15,65,10.88,8
7597,0,101,71,0,U,2,5,H,M,5,0,P,0,5,1727,413,83,15906,0,31,20,29,0,0,A,2,0.111,13,0.222,13,2,2,20,23,53,97,11,8.82,11,14,3,14,6,12,20,92,8.82,6
7598,0,29,45,0,S,3,21,U,F,5,0,P,0,,756,231,47,18358,0,40,25,40,0,0,A,1,0.143,21,0.286,21,2,2,23,11,24,42,2,21,6,24,18,24,6,12,23,28,21,2
7599,0,89,70,0,C,2,28,H,F,2,1,M,5,,857,323,90,18520,0,51,9,73,1,0,A,1,0.154,16,0.333,16,2,2,16,18,54,93,9,10.33,12,17,5,17,4,12,16,89,10.33,7
7600,0,17,45,0,U,2,5,H,F,4,0,M,3,,1152,358,60,14625,0,24,0,65,0,0,F,1,0.143,25,0.333,25,1,1,19,6,15,25,1,25,0,25,25,25,4,10,19,19,25,1
7601,1,41,59,0,S,2,19,H,M,4,0,P,0,,655,318,30,8044,0,15,29,42,0,0,A,3,0.214,9.67,0.4,10.5,3,2,17,11,30,35,4,8.75,5,11,6,11,6,12,17,45,8.75,3
7602,0,137,80,0,C,3,33,U,M,2,0,P,0,2,535,212,76,11714,0,49,15,69,1,0,A,2,0.211,25,0.2,27.5,4,2,18,30,78,354,22,16.09,26,30,4,20,5,15,18,130,16.09,11
7603,1,17,48,0,T,2,40,H,M,7,1,B,1,,809,385,71,14699,0,25,52,26,0,0,F,1,0.167,20,0,0,1,0,20,5,15,20,1,20,0,20,20,20,4,10,20,20,20,0
7604,0,101,65,0,U,4,10,U,F,1,0,P,0,0,149,118,57,5263,0,20,20,42,0,0,A,1,0.091,26,0,0,2,0,17,25,62,128,7,18.29,17,27,10,27,6,12,17,89,18.29,4
7605,1,29,,0,U,4,10,U,M,,0,N,0,,0,0,0,0,0,0,0,0,0,0,E,3,0.75,10.67,1,10,3,2,16,3,8,32,3,10.67,2,12,10,10,1,5,16,23,10.67,2
7606,0,41,,0,C,2,25,U,M,5,0,P,0,,675,229,2,13810,0,12,45,8,0,0,A,1,0.1,16,0.111,16,2,1,25,13,29,44,3,14.67,4,16,12,16,4,9,25,38,14.67,2
7607,0,137,87,0,C,2,27,U,F,6,1,B,0,9,1048,405,49,16868,0,30,59,22,1,1,S,3,0.211,6.5,0.25,8,4,2,15,31,70,110,19,5.79,6,8,2,5,5,12,15,130,5.79,12
7608,0,17,,0,U,2,5,U,U,,0,N,0,,598,213,72,14274,0,37,5,61,0,0,N,2,0.286,55,0.333,60,2,1,16,7,20,110,2,55,10,60,50,60,6,14,16,20,55,1
7609,0,137,68,0,T,1,35,H,F,5,1,B,3,9,1478,576,86,19378,0,28,54,14,0,0,A,1,0.143,13.33,0.2,12.5,3,2,20,30,70,112,10,11.2,10,15,5,15,6,13,20,122,11.2,6
7610,1,65,,0,T,1,35,U,F,,0,N,0,7,925,404,89,14254,5,40,38,30,1,1,S,2,0.182,20.5,0.182,18.5,4,2,21,20,50,144,9,16,20,25,5,21,6,15,21,56,16,6
7611,1,101,47,0,S,1,13,H,F,6,0,B,3,9,5633,792,94,44347,0,34,11,39,1,0,A,2,0.143,13,0.2,13.5,3,2,16,25,64,107,11,9.73,9,14,5,13,6,14,16,89,9.73,8
7612,1,113,69,0,S,1,11,H,F,1,0,P,0,8,1627,456,67,20311,0,30,40,17,1,0,A,1,0.143,12.67,0.1,11,3,1,18,28,68,139,15,9.27,11,14,3,14,5,12,18,103,9.27,7
7613,0,53,77,0,U,1,2,H,F,7,0,P,0,9,899,322,81,15910,1,35,15,61,1,0,A,4,0.409,12.78,0.545,10,9,6,12,23,68,172,15,11.47,15,20,5,20,11,34,6,53,11.47,8
7614,0,29,49,0,S,1,13,U,M,1,1,P,0,,3465,399,72,27710,2,38,29,47,0,0,A,1,0.167,16,0.222,14,3,2,26,12,28,48,3,16,7,20,13,20,5,10,26,33,16,2
7615,0,29,32,0,S,2,18,U,F,5,0,B,0,,890,407,64,17571,0,33,33,17,1,0,A,3,0.333,8.25,0.5,9.33,4,3,20,10,24,33,4,8.25,17,20,3,5,6,13,20,29,8.25,3
7616,1,65,38,1,S,2,19,H,F,6,1,B,1,5,2051,417,90,12747,2,33,36,34,0,0,A,2,0.105,12.5,0.111,10,2,1,17,17,73,185,8,23.13,25,35,10,35,4,24,9,57,23.13,4
7617,0,89,,0,C,1,22,U,U,,0,N,0,,0,0,0,0,0,9,50,0,1,4,A,1,0.05,10,0.111,10,1,1,32,23,64,202,27,7.48,8,11,3,10,5,12,17,81,7.48,11
7618,1,17,75,0,S,2,19,H,F,1,1,B,13,,2353,301,32,10333,0,8,20,42,0,0,F,1,0.167,25,0.333,25,1,1,17,7,16,25,1,25,0,25,25,25,5,11,17,17,25,1
7619,0,137,,0,R,1,42,U,F,,0,N,0,,1213,274,78,15770,1,43,29,26,1,0,A,2,0.188,6.67,0.125,4,3,1,18,24,58,80,16,5,7,10,3,10,4,8,18,124,5,7
7620,0,77,47,0,S,2,20,U,F,4,0,P,0,7,1761,422,64,15842,5,36,41,29,1,1,S,2,0.143,20,0.2,25,3,2,19,22,58,177,20,8.85,22,25,3,25,6,13,19,68,8.85,8
7621,1,137,,1,U,2,4,U,M,2,1,M,0,4,694,205,3,15860,0,10,48,0,1,0,A,2,0.143,28,0.182,28.5,3,2,19,34,96,477,24,19.88,27,30,3,30,8,30,6,126,19.88,9
7622,1,29,,1,R,2,47,U,F,,0,N,0,,533,301,71,11562,1,25,32,34,1,0,N,4,0.4,7.75,0.667,7.75,4,4,17,10,39,41,5,8.2,5,10,5,9,6,21,17,24,8.2,4
7623,0,29,,0,S,1,12,U,U,,1,N,0,,2210,586,86,17455,0,31,45,20,1,1,S,4,0.556,5,0.778,5,10,7,16,13,32,60,12,5,0,5,5,5,6,15,16,33,5,7
7624,0,77,,1,C,2,28,U,M,,0,N,0,5,847,243,87,13823,0,34,20,60,1,1,S,3,0.316,14.33,0.364,14.5,6,4,21,26,90,305.9,26,11.77,12,16,4,14,7,31,5,75,11.77,11
7625,0,41,49,0,R,1,42,U,M,6,1,B,7,,778,393,79,16773,0,26,32,27,1,1,S,2,0.143,18.67,0,0,3,0,19,16,37,98,7,14,20,25,5,25,6,13,18,40,14,1
7626,1,113,46,0,S,2,18,H,M,4,1,P,0,8,670,410,96,13151,4,42,45,15,1,4,A,2,0.188,10.33,0.143,10,3,1,15,26,62,94,12,7.83,8,11,3,11,6,17,8,105,7.83,7
7627,0,125,70,0,T,1,35,U,F,,0,N,0,9,748,444,96,15021,0,41,44,30,1,3,A,2,0.2,16.67,0.333,17.5,3,2,15,25,65,128,16,8,23,25,2,25,4,12,15,124,8,9
7628,0,41,,0,S,1,12,U,F,,0,N,0,,1365,232,7,16239,1,26,49,16,1,0,A,3,0.238,6.8,0.2,7,5,2,19,15,36,49,8,6.13,5,10,5,10,6,12,19,44,6.13,3
7629,0,41,47,0,S,2,18,U,M,,0,N,0,,837,372,85,10564,3,30,54,27,0,0,A,1,0.095,17.5,0.1,20,2,1,20,15,35,60,4,15,10,20,10,20,6,12,20,41,15,2
7630,1,65,58,1,T,2,38,H,M,4,1,B,3,7,702,308,44,14670,43,35,70,12,0,0,A,1,0.091,17.5,0.182,17.5,2,2,24,22,59,100,9,11.11,15,20,5,15,7,23,13,57,11.11,3
7631,1,113,,0,U,3,9,U,M,1,1,B,0,8,3438,106,6,11112,2,45,11,72,1,1,S,4,0.158,15.33,0.111,16,3,1,17,27,73,163,19,8.58,11,16,5,16,6,14,17,105,8.58,8
7632,0,113,53,0,T,2,36,H,M,5,1,B,0,,484,191,57,11581,0,26,32,34,0,0,A,1,0.063,20,0.167,20,1,1,25,22,57,80,6,13.33,17,20,3,20,4,9,25,113,13.33,3
7633,0,53,43,0,C,1,24,H,M,6,1,B,0,9,971,481,92,19921,0,27,48,4,0,0,A,1,0.111,16,0.286,16,2,2,16,14,39,57,5,11.4,15,20,5,20,5,12,16,53,11.4,3
7634,0,89,68,0,R,2,49,U,M,,0,N,0,5,474,287,82,12152,0,22,37,26,1,0,A,1,0.05,21,0.111,21,1,1,24,24,58,137,11,12.45,18,21,3,21,6,11,24,89,12.45,7
7635,0,137,,0,T,1,34,U,F,3,1,M,0,,693,230,74,10910,0,32,30,34,1,0,A,1,0.067,10,0,0,1,0,26,25,63,119,15,7.93,7,12,5,10,4,10,26,129,7.93,8
7636,0,137,,0,R,2,44,U,F,2,1,B,1,5,605,330,85,12028,0,33,41,19,1,1,S,2,0.1,18,0.222,18,2,2,16,32,81,186,26,7.15,23,25,2,20,6,13,16,127,7.15,15
7637,0,65,71,0,C,3,30,H,F,4,0,M,0,1,1036,407,68,16126,0,30,42,26,1,1,S,3,0.278,6.4,0.375,6.67,5,3,18,19,47,71,13,5.46,5,8,3,6,5,12,18,64,5.46,8
7638,1,65,67,0,C,2,28,H,F,4,1,B,4,5,880,335,89,13951,1,45,22,51,1,0,A,1,0.1,20,0.1,20,2,1,24,21,48,124,7,17.71,5,20,15,20,6,12,24,62,17.71,4
7639,0,77,33,0,S,3,21,H,F,5,1,P,0,2,452,259,90,9261,0,33,21,48,1,0,A,3,0.2,31.75,0.273,30.67,4,3,18,23,57,271,11,24.64,25,35,10,35,6,12,18,68,24.64,6
7640,1,113,,0,R,3,51,U,U,,0,N,0,5,435,314,85,13352,0,35,19,42,1,1,S,2,0.227,10,0.455,10,5,5,12,33,87,148,20,7.4,9,12,3,10,9,23,12,112,7.4,14
7641,1,89,37,0,R,1,42,U,M,4,1,B,7,6,822,228,51,11594,0,27,24,22,0,0,A,2,0.15,12.33,0.2,11,3,2,16,21,52,86,8,10.75,10,15,5,10,6,13,16,80,10.75,6
7642,1,137,55,0,R,2,49,H,F,6,1,B,0,2,650,302,44,7080,0,25,41,23,1,0,A,1,0.067,15,0,0,1,0,19,25,62,78,9,8.67,10,15,5,15,4,11,19,126,8.67,6
7643,1,137,59,0,T,2,40,H,M,6,0,M,3,6,1015,354,82,13340,0,24,31,69,1,1,S,2,0.176,12.33,0,0,3,0,18,28,64,99,12,8.25,10,15,5,10,6,13,18,125,8.25,7
7644,0,77,55,0,R,2,49,H,F,4,1,B,8,5,545,306,86,12046,0,25,33,24,0,0,A,2,0.056,25,0,0,1,0,25,21,53,135,9,15,20,25,5,25,6,12,25,77,15,3
7645,0,77,,0,?,?,,U,M,,0,N,0,,1513,454,78,15359,0,0,0,0,1,5,A,1,0.222,16.25,0.3,16.67,4,3,21,23,60,377,31,12.16,15,20,5,17,6,13,21,75,12.16,11
7646,0,101,,0,U,1,3,H,M,7,0,B,4,,2660,270,41,19540,0,15,23,59,1,1,S,3,0.263,6.4,0.444,6.5,5,4,16,25,59,75,14,5.36,4,7,3,6,5,12,16,93,5.36,10
7647,0,113,80,0,C,1,24,H,F,4,1,B,28,8,697,368,91,20470,0,32,0,81,0,0,A,1,0,0,0,0,0,0,,15,69,225,8,28.13,10,35,25,35,3,25,26,105,28.13,2
7648,0,65,,0,U,1,2,U,F,,0,N,0,,3197,701,88,18826,2,17,42,14,0,0,A,2,0.167,16,0.125,16,3,1,22,16,40,58,7,8.29,16,17,1,16,6,12,22,60,8.29,3
7649,0,101,,0,U,1,1,U,F,,0,N,0,,0,58,0,10481,0,16,31,41,1,1,S,3,0.2,6.67,0.375,6.67,3,3,24,24,63,109,19,5.74,5,10,5,10,6,12,18,92,5.74,9
7650,0,29,,0,S,1,13,U,M,4,1,B,2,,5845,959,87,39969,0,46,34,47,0,0,N,1,0.091,50,0.2,50,1,1,24,9,20,50,1,50,0,50,50,50,6,11,24,24,50,1
7651,0,41,59,0,C,1,23,H,M,7,1,B,8,9,1585,466,62,27163,0,30,20,47,1,0,A,3,0.25,10.75,0.375,11.33,4,3,21,14,33,55,6,9.17,9,14,5,12,6,12,21,45,9.17,4
7652,0,89,81,0,R,2,49,U,F,2,1,B,6,6,444,292,79,11115,0,28,35,35,1,1,S,2,0.136,13.33,0,0,3,0,19,25,61,111,14,7.93,12,15,3,15,6,13,19,87,7.93,6
7653,1,137,,0,R,2,49,U,M,1,0,P,0,3,414,267,74,11719,0,31,29,35,1,4,A,1,0.136,13.33,0.182,12.5,3,2,21,31,67,115,10,11.5,10,15,5,15,6,12,21,126,11.5,7
7654,1,53,,0,C,2,25,U,M,,1,N,0,,542,171,27,10735,0,10,14,27,0,0,A,4,0.6,4.78,0.667,4.5,9,6,17,14,36,66,15,4.4,9,10,1,10,4,8,17,52,4.4,7
7655,0,17,57,0,S,1,12,H,F,1,0,P,0,,2254,573,93,17662,0,28,58,13,0,0,F,1,0.2,15,0.5,15,1,1,17,5,13,15,1,15,0,15,15,15,4,10,17,17,15,1
7656,0,89,65,0,U,1,2,U,F,,0,N,0,8,1624,567,98,20321,0,22,19,39,1,1,S,4,0.3,8,0.3,6.67,6,3,17,25,61,113,16,7.06,7,10,3,10,6,13,17,81,7.06,9
7657,0,41,37,0,T,1,34,H,F,6,1,B,1,,938,394,52,18502,0,31,54,7,0,0,A,1,0.105,15,0.125,10,2,1,27,11,26,30,2,15,10,20,10,20,4,9,27,36,15,1
7658,0,137,26,0,R,2,45,U,F,,0,N,0,3,396,195,75,9318,0,32,25,44,1,0,A,1,0,0,0,0,0,0,,31,78,510,12,42.5,70,75,5,50,6,12,25,123,42.5,7
